cntnum,stmerch,cntdate,deptcode,deptname,subdeptcode,subdeptname,sku,sbc,ibc,bndname,prname,prmodel,soh,cntqnt,varianceqnt,extphycnt_retail,extphycnt_cost,extphy_retailvar,extphy_costvar,gmperc,skutype,rpname
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298023,2000002980230,             ,KATE SPADE,DEMO CASE AIRPODS PRO1/2 KATESPADE KS052914-05 TORTOISE,?KS052914-05,1,1,0,1590,965.89,0,0,35,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298025,2000002980254,             ,KATE SPADE,DEMO CASE AIRTAG KATESPADE KS052976 CITY LEOPARD BLACK,?KS052976,1,1,0,890,540.65,0,0,35,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298022,2000002980223,             ,KATE SPADE,DEMO CASE AIRPODS PRO1/2 KATESPADE KS052878 HOLLYHOCK CREAM,?KS052878,1,1,0,1590,965.89,0,0,35,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,280935,2000002809357,             ,SAMSUNG                       ,$$ ZFLIP4 LEATHER COVER CASE SAMSUNG BLACK EF-VF721LBEGWW,?EF-VF721LBEGWW,1,1,0,2490,652,0,0,71.98,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,280952,8806094483444,             ,SAMSUNG                       ,ZFLIP4 CLEAR COVER WITH RING SAMSUNG BLACK EF-OF721CTEGWW,?EF-OF721CTEGWW,2,2,0,1980,1296,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299437,8809983293049,             ,SAMSUNG                       ,SAMSUNG FLIP6 DISNEY VARIETY CASE GP-FPF741HICMW,GP-FPF741HICMW,3,3,0,3570,2337,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299501,8806095611907,             ,SAMSUNG                       ,SAMSUNG FLIP6 FLAP VEGAN LEATHER CASE GRAY EF-VF741PJEGWW,EF-VF741PJEGWW,4,4,0,9960,6516,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301925,8806095769493,             ,SAMSUNG                       ,SAMSUNG S24FE SILICONE CASE BLACK EF-PS721CBEGWW,EF-PS721CBEGWW,1,1,0,790,517,0,0,29.98,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,273228,1000190000070,             ,HEAL,CASE SMART HYBRID CLEAR HEAL IPAD MINI 6 CLEAR PP,CASE MINI6 CLEAR PP,10,10,0,9900,6476.6,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,287270,2000002872702,             ,SAMSUNG                       ,$$ CASE SAMSUNG GALAXY S23+ CLEAR TRANSPARENCY EF-XS916CTEGWW,?EF-XS916CTEGWW,1,1,0,1490,390,0,0,71.99,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,296009,8806095426648,             ,SAMSUNG                       ,S24ULTRA CLEARGADGETCASE SAMSUNG EF-XS928CTEGWW TRANSPARENCY,EF-XS928CTEGWW,2,2,0,2380,1558,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299451,2000002994510,             ,SAMSUNG                       ,$$ SAMSUNG FOLD6 SILM S PEN GRIP CASE NAVY EF-OF95PCNEGWW,EF-OF95PCNEGWW,1,1,0,2790,730,0,0,72,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299504,8806095611860,             ,SAMSUNG                       ,SAMSUNG FOLD6 VEGAN LEATHER CASE GRAY EF-VF956PJEGWW,EF-VF956PJEGWW,2,2,0,4780,3128,0,0,29.98,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,273224,1000190000032,             ,HEAL,CASE SMART HYBRID PROTECTIVE HEAL CASE IPAD MINI 6 PP,CASE IPAD MINI 6 PP,10,10,0,8900,5680,0,0,31.71,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,275698,8806092315945,             ,SAMSUNG                       ,BOOK COVER TAB S8/S7 SAMSUNG BLACK EF-BT630PBEGWW,?EF-BT630PBEGWW,1,1,0,1990,1302,0,0,29.99,Credit,STK2
