store,cntdate,countname,dpt,sdpt,cls,scls,sku,ibc,sbc,sku_des,brandid,brnnam,vendor,vend_nam,catalogue,coldsc,sizdsc,retail,cost,soh,qty_count,qty_var,extrtl_var,extcst_var,skutype,rpname,phycnt_cst,phycnt_rtl,percen_var,gm,vnd_vat_rate
FC071,20240916,,520,217,,,457437,,0000073392750,ตัวโชว์-เก้าอี้สำนักงาน เฟอร์ราเดค Farley สีดำ,,,,,,,,5990,1813.49,1,1,0,0,0,Credit,STK2,1813.49,5990,,,
FC071,20240916,,520,217,,,457410,,0000073392484,ตัวโชว์-โต๊ะทำงานพร้อมลิ้นชัก เฟอร์ราเดค CT-1925 สีบีช,,,,,,,,5990,1495.43,1,1,0,0,0,Credit,STK2,1495.43,5990,,,
FC071,20240916,,520,217,,,457514,,0000073393528,ตัวโชว์-เก้าอี้เพื่อสุขภาพ เฟอร์ราเดค  Friendly สีดำ,,,,,,,,5990,2325.51,1,1,0,0,0,Credit,STK2,2325.51,5990,,,
FC071,20240916,,520,217,,,457430,,0000073392682,ตัวโชว์-โต๊ะทำงาน เฟอร์ราเดค CT-1923 ขาว-บีช,,,,,,,,5990,1370.72,1,1,0,0,0,Credit,STK2,1370.72,5990,,,
FC071,20240916,,520,217,,,457419,,0000073392576,ตัวโชว์-เก้าอี้ผู้บริหาร เฟอร์ราเดค Demon สีดำ,,,,,,,,5990,1618.57,1,1,0,0,0,Credit,STK2,1618.57,5990,,,
FC071,20240916,,520,217,,,457441,,0000073392798,ตัวโชว์-เก้าอี้สำนักงาน เฟอร์ราเดค Yara สีดำ,,,,,,,,5490,2553.41,1,1,0,0,0,Credit,STK2,2553.41,5490,,,
FC071,20240916,,520,217,,,457413,,0000073392514,ตัวโชว์-เก้าอี้เพื่อสุขภาพ เฟอร์ราเดค RYAN สีดำ,,,,,,,,5190,1646.67,1,1,0,0,0,Credit,STK2,1646.67,5190,,,
FC071,20240916,,520,217,,,457415,,0000073392538,ตัวโชว์-โต๊ะทำงาน เฟอร์ราเดค CT-8656 สีเชสนัท,,,,,,,,5190,1961,1,1,0,0,0,Credit,STK2,1961,5190,,,
FC071,20240916,,520,209,,,404858,,0000072046913,โต๊ะทำงานพร้อมชั้นวางของ วอลนัท เฟอร์ราเดค CT-1514,,,,,,,,4990,1764.32,1,1,0,0,0,Credit,STK2,1764.32,4990,,,
FC071,20240916,,520,217,,,457446,,0000073392842,ตัวโชว์-โต๊ะทำงานพร้อมชั้นวางของ เฟอร์ราเดค CT-1514,,,,,,,,4990,1764.32,1,1,0,0,0,Credit,STK2,1764.32,4990,,,
FC071,20240916,,520,217,,,457531,,0000073393696,ตัวโชว์-เก้าอี้สำนักงาน  เฟอร์ราเดค  Mermaid  สีดำ,,,,,,,,4590,1853.01,1,1,0,0,0,Credit,STK2,1853.01,4590,,,
FC071,20240916,,520,209,,,404853,,0000072038703,โต๊ะทำงาน+ชั้นวางของ บีช เฟอร์ราเดค CT-1424,,,,,,,,4390,1289.02,1,1,0,0,0,Credit,STK2,1289.02,4390,,,
